model,feature_group,n_features,target,r2,mae
Random Forest,z_12.0_mid_k,7,log10_Tvir,-0.014115410095863812,0.3783581293273457
Random Forest,z_12.0_mid_k,7,R_mfp,-0.019043842970257074,6.401528281264652
Random Forest,z_12.0_mid_k,7,log10_LX,-0.0173342362183726,0.9986803494314864
Random Forest,z_12.0_mid_k,7,sigma8,0.9427108765867889,0.00827118291718817
Random Forest,z_12.0_high_k,6,zeta,-0.0800406190010452,18.159651669675142
Random Forest,z_12.0_high_k,6,log10_Tvir,-0.0502252520479991,0.38104756625800673
Random Forest,z_12.0_high_k,6,R_mfp,-0.0814493177082456,6.585955372980489
Random Forest,z_12.0_high_k,6,log10_LX,-0.06897673706805607,1.024740175381398
Random Forest,z_12.0_high_k,6,sigma8,0.9867361216858243,0.0038988827456601146
Random Forest,z_10.0_low_k,6,zeta,-0.05746325991314727,18.07803009357459
Random Forest,z_10.0_low_k,6,log10_Tvir,-0.0019813743391190464,0.3728943999707308
Random Forest,z_10.0_low_k,6,R_mfp,-0.018912835351387658,6.364543623468176
Random Forest,z_10.0_low_k,6,log10_LX,-0.02792053624487445,1.0011400126460959
Random Forest,z_10.0_low_k,6,sigma8,0.8746110900762701,0.012101993834559139
Random Forest,z_10.0_mid_k,7,zeta,-0.10312791905324836,18.347496433818762
Random Forest,z_10.0_mid_k,7,log10_Tvir,-0.024576706017373384,0.37935553894359886
Random Forest,z_10.0_mid_k,7,R_mfp,-0.03398715703231869,6.464792063414705
Random Forest,z_10.0_mid_k,7,log10_LX,-0.04021874762863331,1.0059469371212786
Random Forest,z_10.0_mid_k,7,sigma8,0.9633059928570352,0.00665537809029469
Random Forest,z_10.0_high_k,6,zeta,-0.13313788973534568,18.591680637976932
Random Forest,z_10.0_high_k,6,log10_Tvir,-0.010304306325974233,0.3741154068656167
Random Forest,z_10.0_high_k,6,R_mfp,-0.03886665760905439,6.364043028158115
Random Forest,z_10.0_high_k,6,log10_LX,-0.06047543167443892,1.022576213926837
Random Forest,z_10.0_high_k,6,sigma8,0.971785578308347,0.005535545036213627
Random Forest,z_8.0_low_k,6,zeta,-0.06487056696160676,18.24122803735949
Random Forest,z_8.0_low_k,6,log10_Tvir,-0.02875419932084977,0.38175511967794734
Random Forest,z_8.0_low_k,6,R_mfp,0.36553232119955714,4.778577106668857
Random Forest,z_8.0_low_k,6,log10_LX,-0.015863045656820063,1.0010801884178797
Random Forest,z_8.0_low_k,6,sigma8,0.31554632666469795,0.02929124570805638
Random Forest,z_8.0_mid_k,7,zeta,-0.08555375886186867,18.385235316666737
Random Forest,z_8.0_mid_k,7,log10_Tvir,-0.02215487481423084,0.37832133802757073
Random Forest,z_8.0_mid_k,7,R_mfp,0.3639358288762907,4.815800158379573
Random Forest,z_8.0_mid_k,7,log10_LX,-0.046533814781684724,1.0082975261527267
Random Forest,z_8.0_mid_k,7,sigma8,0.9207563875290509,0.009359429350657606
